SITE_ID1,CELL_NAME1,RatBandShort1,SITE_ID2,CELL_NAME,RatBandShort2,HO Execution Successes [#]
B1BER,TB1BER1,L08,B1BER,SB1BER1,L07,42660
B1BER,TB1BER1,L08,B1BER,TB1BER2,L08,9950
B1BER,TB1BER1,L08,B1BER,TB1BER3,L08,58660
B1BER,TB1BER1,L08,B1BER,VB1BER2,L09,101
B1BER,TB1BER1,L08,B1BER,VB1BER3,L09,800
B1BER,TB1BER1,L08,B1BER,JB1BER2,L18,19
B1BER,TB1BER1,L08,B1BER,JB1BER3,L18,84
B1BER,TB1BER1,L08,B1ODB,TB1ODB1,L08,66051
B1BER,TB1BER1,L08,B1ODB,VB1ODB1,L09,504
B1BER,TB1BER1,L08,B1ODB,JB1ODB1,L18,449
B1BER,TB1BER1,L08,B1PLR,TB1PLR1,L08,1876
B1BER,TB1BER1,L08,B1PLR,JB1PLR1,L18,117
B1BER,TB1BER1,L08,B1STE,TB1STE1,L08,3029
B1BER,TB1BER1,L08,B2EUR,TB2EUR1,L08,21
B1BER,TB1BER1,L08,B2KAR,TB2KAR1,L08,14076
B1BER,TB1BER1,L08,B2KSC,TB2KSC3,L08,224
B1BER,TB1BER1,L08,B2KUP,TB2KUP1,L08,10039
B1BER,TB1BER1,L08,B2KUP,TB2KUP3,L08,10529
B1BER,TB1BER1,L08,B2MIL,TB2MIL1,L08,161
B1BER,TB1BER1,L08,B2PAL,TB2PAL3,L08,35681
B1BER,TB1BER1,L08,B3JEN,TB3JEN1,L08,905
B1BER,TB1BER1,L08,B3JES,TB3JES2,L08,861
B1BER,TB1BER1,L08,B3MIK,TB3MIK1,L08,4643
B1BER,TB1BER1,L08,B3MIK,TB3MIK2,L08,4892
B1BER,TB1BER1,L08,B3NTC,TB3NTC2,L08,2368
B1BER,TB1BER1,L08,B3RAC,TB3RAC2,L08,24457
B1BER,TB1BER1,L08,B3RAC,TB3RAC3,L08,84
B1BER,TB1BER1,L08,B3RAC,VB3RAC2,L09,218
B1BER,TB1BER1,L08,B3VAJ,TB3VAJ2,L08,9321
B1BER,TB1BER2,L08,B1BER,SB1BER2,L07,48492
B1BER,TB1BER2,L08,B1BER,TB1BER1,L08,9041
B1BER,TB1BER2,L08,B1BER,TB1BER3,L08,20068
B1BER,TB1BER2,L08,B1BER,VB1BER1,L09,113
B1BER,TB1BER2,L08,B1BER,VB1BER3,L09,119
B1BER,TB1BER2,L08,B1BER,JB1BER1,L18,16
B1BER,TB1BER2,L08,B1BER,JB1BER3,L18,81
B1BER,TB1BER2,L08,B1BLO,TB1BLO1,L08,12758
B1BER,TB1BER2,L08,B1DEL,JB1DEL1,L18,484
B1BER,TB1BER2,L08,B1LEH,TB1LEH1,L08,15989
B1BER,TB1BER2,L08,B1LEH,TB1LEH2,L08,18657
B1BER,TB1BER2,L08,B1LEH,TB1LEH3,L08,2135
B1BER,TB1BER2,L08,B1LEH,VB1LEH1,L09,342
B1BER,TB1BER2,L08,B1LEH,VB1LEH2,L09,16
B1BER,TB1BER2,L08,B1LEH,JB1LEH1,L18,478
B1BER,TB1BER2,L08,B1LEH,JB1LEH2,L18,705
B1BER,TB1BER2,L08,B1ODB,TB1ODB1,L08,7918
B1BER,TB1BER2,L08,B1ODB,TB1ODB2,L08,316
B1BER,TB1BER2,L08,B1ODB,TB1ODB3,L08,46169
B1BER,TB1BER2,L08,B1ODB,VB1ODB3,L09,478
B1BER,TB1BER2,L08,B1PLR,TB1PLR1,L08,4230
B1BER,TB1BER2,L08,B1PLR,TB1PLR2,L08,74
B1BER,TB1BER2,L08,B1PLR,TB1PLR3,L08,328
B1BER,TB1BER2,L08,B1PLR,VB1PLR1,L09,59
B1BER,TB1BER2,L08,B1PLR,JB1PLR1,L18,43
B1BER,TB1BER2,L08,B1PRV,TB1PRV2,L08,30
B1BER,TB1BER2,L08,B1RDL,TB1RDL1,L08,1613
B1BER,TB1BER2,L08,B1RDL,TB1RDL2,L08,66
B1BER,TB1BER2,L08,B1RDL,TB1RDL3,L08,22460
B1BER,TB1BER2,L08,B1RDL,VB1RDL3,L09,609
B1BER,TB1BER2,L08,B1SPI,TB1SPI1,L08,23
B1BER,TB1BER2,L08,B1STE,TB1STE1,L08,1924
B1BER,TB1BER2,L08,B1STE,TB1STE2,L08,867
B1BER,TB1BER2,L08,B1STE,TB1STE3,L08,468
B1BER,TB1BER2,L08,B2EUR,TB2EUR1,L08,64
B1BER,TB1BER2,L08,B2KAR,TB2KAR1,L08,317
B1BER,TB1BER2,L08,B2KUP,TB2KUP3,L08,247
B1BER,TB1BER2,L08,B3MIK,TB3MIK2,L08,2779
B1BER,TB1BER3,L08,B1BER,SB1BER1,L07,466
B1BER,TB1BER3,L08,B1BER,SB1BER3,L07,51493
B1BER,TB1BER3,L08,B1BER,TB1BER1,L08,57034
B1BER,TB1BER3,L08,B1BER,TB1BER2,L08,21397
B1BER,TB1BER3,L08,B1BER,VB1BER2,L09,304
B1BER,TB1BER3,L08,B1BER,JB1BER1,L18,36
B1BER,TB1BER3,L08,B1BER,JB1BER2,L18,26
B1BER,TB1BER3,L08,B1BLO,TB1BLO1,L08,1008
B1BER,TB1BER3,L08,B1LEH,TB1LEH1,L08,4400
B1BER,TB1BER3,L08,B1ODB,TB1ODB1,L08,847
B1BER,TB1BER3,L08,B1PLR,TB1PLR1,L08,7723
B1BER,TB1BER3,L08,B1PLR,TB1PLR3,L08,32012
B1BER,TB1BER3,L08,B1PLR,VB1PLR3,L09,224
B1BER,TB1BER3,L08,B1PLR,JB1PLR1,L18,708
B1BER,TB1BER3,L08,B1STE,TB1STE1,L08,28221
B1BER,TB1BER3,L08,B2KAR,TB2KAR1,L08,339
