cell,neighbors,bs,neighbor_count
TK3DHM2,"['TK2COT1', 'TK1PAL3', 'TK1KAV2', 'TK1PLR2', 'TK1TAM4', 'TK2HEM1', 'TK1POD3', 'TK1PAL2', 'TK1HLN1', 'TK1HLT1', 'TK1POD1', 'TK1STU4', 'TK1THN2', 'TK1VLA3', 'TK1WAT1', 'TK3DBU2', 'TK1PAL1', 'TK2POV2', 'TK1HLT2', 'TK1PLR3', 'TK1PUS1', 'TK1PUS2', 'TK1TAM3', 'TK1TRO1', 'TK2KYS2', 'TK1PUS3', 'TK4JNA2', 'TK2STA3', 'TK1TYR2', 'TK3DBU1', 'TK1VLA1', 'TK1TYR3', 'TK1TYR1', 'TK4ROS1', 'TK1FEN3', 'TK1TAV3', 'TK1FEN1', 'TK4MIS3', 'TK3DBU3', 'TK1STR2', 'TK4JJU1', 'TK3DHJ2', 'TK2KYS3', 'TK3DHK2', 'TK1PLR1', 'TK1POD2', 'TK1KRU2', 'TK1KUZ3', 'TK1TRO2', 'TK1HLT4', 'TK3DHJ3', 'TK3DHK3', 'TK1BEN1', 'TK1MUR2', 'TK1HLN3', 'TK3DHB1', 'TK3KNV3', 'TK3DHB2', 'TK1ALP1', 'TK1WAT2', 'TK1STR1', 'TK1WAT3', 'TK1TRO3', 'TK1BEN2']",K3DHM,64
TK4MIS3,"['TK2COT1', 'TK2SNP2', 'TK1KAV2', 'TK1STU3', 'TK2TOR1', 'TK4BAL3', 'TK4LOM3', 'TK2HEM1', 'TK2SNP3', 'TK1STU4', 'TK4NJB3', 'TK2TOR3', 'TK2WUR1', 'TK4MUD2', 'TK2COT3', 'TK2JED1', 'TK4SEB3', 'TK2POV2', 'TK2STA1', 'TK4MUD3', 'TK4LOM2', 'TK1PUS1', 'TK2KYS1', 'TK1WAT3', 'TK2HEM2', 'TK2TOR2', 'TK2KEZ2', 'TK2KYS2', 'TK3DHM2', 'TK2SNP1', 'TK2STA3', 'TK1TYR1', 'TK1FEN1', 'TK2KEZ1', 'TK4LOM1', 'TK3DBU3', 'TK2KYS3', 'TK2JED3', 'TK4OPT1', 'TK2BER2', 'TK2POV1', 'TK4ROZ2', 'TK1KRU2', 'TK1KUZ3', 'TK1HLT4', 'TK1KRU3', 'TK2BER3', 'TK1HLN3', 'TK4ROZ3', 'TK1ALP1', 'TK2KEZ3', 'TK2BER1', 'TK1TRO3', 'TK1BEN2']",K4MIS,54
TK3DBU3,"['TK1PAL3', 'TK1PLR2', 'TK2TOR1', 'TK2HEM1', 'TK1POD3', 'TK1PAL2', 'TK1HLT1', 'TK1POD1', 'TK1STU4', 'TK1HLT3', 'TK3DHM3', 'TK1PAL1', 'TK2POV2', 'TK1PLR3', 'TK2KYS1', 'TK1PUS2', 'TK2KYS2', 'TK3DHM2', 'TK3DHK1', 'TK2STA3', 'TK1TYR2', 'TK1TYR3', 'TK4ROS1', 'TK1FEN3', 'TK3DHM1', 'TK3DHJ2', 'TK2KYS3', 'TK1PLR1', 'TK1KRU1', 'TK2POV1', 'TK1KRU2', 'TK1KUZ3', 'TK1MUR3', 'TK1HLT4', 'TK1TRO2', 'TK3DHJ3', 'TK1BEN1', 'TK3DHB1', 'TK3DHJ1', 'TK3DHB2', 'TK3KNV3', 'TK1ALP1', 'TK1WAT2', 'TK1STR1', 'TK1BEN2']",K3DBU,45
TK1WAT1,"['TK2COT1', 'TK1KUZ1', 'TK1POD3', 'TK1PAL2', 'TK1HLT1', 'TK1VLA3', 'TK1PAL1', 'TK1FEN2', 'TK1PUS1', 'TK2KYS1', 'TK1PUS2', 'TK1TRO1', 'TK1BAS1', 'TK3DHM2', 'TK1TYR2', 'TK1VLA1', 'TK1TYR3', 'TK1TYR1', 'TK1FEN1', 'TK3DHM1', 'TK4MIS3', 'TK2KEZ1', 'TK3DBU3', 'TK1STR2', 'TK4JJU1', 'TK3DHJ2', 'TK2KYS3', 'TK1THN1', 'TK3DHK2', 'TK1PLR1', 'TK1POD2', 'TK1KRU1', 'TK1VLA2', 'TK1TRO2', 'TK1HLT4', 'TK3KNV3', 'TK3DHB2', 'TK1STR3', 'TK1STR1', 'TK1TRO3', 'TK1BEN2']",K1WAT,41
TK2KEZ1,"['TK2COT1', 'TK1KAV2', 'TK1STU3', 'TK1TAM4', 'TK2TOR1', 'TK2SNP3', 'TK1STU4', 'TK1WAT1', 'TK2TOR3', 'TK2WUR1', 'TK2COT3', 'TK2JED1', 'TK3DBU2', 'TK2POV2', 'TK2STA1', 'TK2KYS1', 'TK1PUS2', 'TK1TRO1', 'TK2TOR2', 'TK1TAM1', 'TK2KYS2', 'TK1TAV1', 'TK3DHM2', 'TK3DBU1', 'TK1TYR2', 'TK1TYR1', 'TK3DHM1', 'TK4MIS3', 'TK3DBU3', 'TK2KYS3', 'TK1THN1', 'TK1PLR1', 'TK2BER1', 'TK2POV1', 'TK4ROZ2', 'TK1KRU2', 'TK2POV3', 'TK2BER3', 'TK3KNV3', 'TK1WAT3', 'TK1FEN3']",K2KEZ,41
TK2KYS1,"['TK2COT1', 'TK1PAL3', 'TK1PLR2', 'TK1STU3', 'TK2TOR1', 'TK4LOM3', 'TK4ROS2', 'TK1POD3', 'TK2SNP3', 'TK4MUD1', 'TK1STU4', 'TK1WAT1', 'TK2TOR3', 'TK4ROS3', 'TK1STU2', 'TK1HLT3', 'TK2POV2', 'TK4MUD3', 'TK1PUS2', 'TK2TOR2', 'TK3DHM2', 'TK1TYR3', 'TK3DHM1', 'TK4MIS3', 'TK2KEZ1', 'TK3DBU3', 'TK1STR2', 'TK4JJU1', 'TK1PLR1', 'TK2BER2', 'TK2POV1', 'TK1KRU2', 'TK1KUZ3', 'TK1HLT4', 'TK4JRA1', 'TK2POV3', 'TK1MUR2', 'TK1WAT2', 'TK2BER1', 'TK1FEN3']",K2KYS,40
TK2KYS3,"['TK4BAL3', 'TK1KAV2', 'TK1TAM4', 'TK2TOR1', 'TK2HEM1', 'TK1POD3', 'TK2SNP3', 'TK1POD1', 'TK1STU4', 'TK1WAT1', 'TK2TOR3', 'TK2COT3', 'TK2POV2', 'TK1TRO1', 'TK1TAM1', 'TK3DHM2', 'TK2STA3', 'TK1TYR3', 'TK1TYR1', 'TK1TAV3', 'TK1FEN1', 'TK4MIS3', 'TK2KEZ1', 'TK3DBU3', 'TK1THN1', 'TK1POD2', 'TK4OPT1', 'TK1KRU1', 'TK2BER1', 'TK2POV1', 'TK1KRU2', 'TK1KUZ3', 'TK3DHK3', 'TK2POV3', 'TK1KRU3', 'TK4ROZ3', 'TK1WAT2', 'TK1WAT3', 'TK1TRO3', 'TK1FEN3']",K2KYS,40
TK2SNP3,"['TK2COT1', 'TK4BAL3', 'TK1KAV2', 'TK1STU3', 'TK4LOM3', 'TK2HEM1', 'TK1STU4', 'TK2TOR3', 'TK2WUR1', 'TK2COT3', 'TK2JED1', 'TK2POV2', 'TK2STA1', 'TK2KYS1', 'TK2HEM2', 'TK2TOR2', 'TK2KEZ2', 'TK2KYS2', 'TK3DHM2', 'TK2STA3', 'TK1FEN1', 'TK4MIS3', 'TK2KEZ1', 'TK3DBU3', 'TK2KYS3', 'TK2JED3', 'TK2BER2', 'TK2BER1', 'TK2POV1', 'TK4ROZ2', 'TK1KUZ3', 'TK1HLT4', 'TK2POV3', 'TK1KRU3', 'TK2BER3', 'TK4ROZ3', 'TK2KEZ3', 'TK1WAT3', 'TK1FEN3']",K2SNP,39
TK2POV1,"['TK4BAL3', 'TK1TAM4', 'TK1KUZ1', 'TK1POD3', 'TK2HEM1', 'TK2SNP3', 'TK1POD1', 'TK1STU4', 'TK2TOR3', 'TK2COT3', 'TK1HLT3', 'TK1FEN2', 'TK2KYS1', 'TK1TAM3', 'TK1TRO1', 'TK1PUS3', 'TK3DHM2', 'TK2STA3', 'TK1TYR3', 'TK1TYR1', 'TK1FEN3', 'TK4MIS3', 'TK2KEZ1', 'TK3DBU3', 'TK2KYS3', 'TK1THN1', 'TK1KRU2', 'TK1KUZ3', 'TK1HLT4', 'TK3DHJ3', 'TK4ROZ3', 'TK1STR3', 'TK1WAT2', 'TK1WAT3', 'TK1TRO3', 'TK1BEN2']",K2POV,36
TK1STU4,"['TK2COT1', 'TK2TOR1', 'TK4LOM3', 'TK1KUZ1', 'TK1KUZ2', 'TK2SNP3', 'TK2TOR3', 'TK1HLT3', 'TK2POV2', 'TK4MUD3', 'TK1FEN2', 'TK2KYS1', 'TK2TOR2', 'TK1PUS3', 'TK3DHM2', 'TK1TYR3', 'TK4MIS3', 'TK2KEZ1', 'TK3DBU3', 'TK1STR2', 'TK3DHJ2', 'TK2KYS3', 'TK1KRU1', 'TK2POV1', 'TK1KRU2', 'TK1KUZ3', 'TK1MUR3', 'TK1HLT4', 'TK2POV3', 'TK1BEN1', 'TK1HLN3', 'TK1STR3', 'TK1WAT2', 'TK2BER1', 'TK1FEN3']",K1STU,35
