SITE_ID1,CELL_NAME1,RatBandShort,SITE_ID2,CELL_NAME2,RatBandShort,HO Execution Successes [#]
K1ALP,TK1ALP1,L08,K1ALP,SK1ALP1,L07,17279
K1ALP,TK1ALP1,L08,K1ALP,TK1ALP2,L08,2508
K1ALP,TK1ALP1,L08,K1ALP,VK1ALP2,L09,74
K1ALP,TK1ALP1,L08,K1BEN,TK1BEN2,L08,2
K1ALP,TK1ALP1,L08,K1KAV,TK1KAV2,L08,988
K1ALP,TK1ALP1,L08,K1POD,TK1POD3,L08,754
K1ALP,TK1ALP1,L08,K1STU,TK1STU4,L08,36
K1ALP,TK1ALP1,L08,K1WAT,TK1WAT3,L08,867
K1ALP,TK1ALP1,L08,K2HEM,TK2HEM1,L08,11935
K1ALP,TK1ALP1,L08,K2POL,TK2POL2,L08,3814
K1ALP,TK1ALP1,L08,K3DBU,TK3DBU1,L08,509
K1ALP,TK1ALP1,L08,K3DBU,TK3DBU3,L08,1202
K1ALP,TK1ALP1,L08,K3DHJ,TK3DHJ3,L08,524
K1ALP,TK1ALP1,L08,K3DHK,TK3DHK2,L08,50
K1ALP,TK1ALP1,L08,K3DHM,TK3DHM2,L08,2478
K1ALP,TK1ALP1,L08,K3KNV,TK3KNV3,L08,616
K1ALP,TK1ALP1,L08,K4BAL,TK4BAL3,L08,49
K1ALP,TK1ALP1,L08,K4MIS,TK4MIS3,L08,726
K1ALP,TK1ALP2,L08,K1ALP,SK1ALP2,L07,16098
K1ALP,TK1ALP2,L08,K1ALP,TK1ALP1,L08,1880
K1ALP,TK1ALP2,L08,K1ALP,VK1ALP1,L09,105
K1ALP,TK1ALP2,L08,K1KAV,TK1KAV3,L08,5521
K1ARE,TK1ARE1,L08,K1ARE,TK1ARE2,L08,1986
K1ARE,TK1ARE1,L08,K1ARE,TK1ARE3,L08,1572
K1ARE,TK1ARE1,L08,K1ARE,JK1ARE2,L18,12
K1ARE,TK1ARE1,L08,K1ARE,JK1ARE3,L18,0
K1ARE,TK1ARE1,L08,K1STU,TK1STU3,L08,295
K1ARE,TK1ARE2,L08,K1ARE,TK1ARE1,L08,2011
K1ARE,TK1ARE2,L08,K1ARE,TK1ARE3,L08,1594
K1ARE,TK1ARE2,L08,K1ARE,JK1ARE1,L18,5
K1ARE,TK1ARE2,L08,K1ARE,JK1ARE3,L18,2
K1ARE,TK1ARE2,L08,K1STU,TK1STU3,L08,284
K1ARE,TK1ARE3,L08,K1ARE,TK1ARE1,L08,1577
K1ARE,TK1ARE3,L08,K1ARE,TK1ARE2,L08,1572
K1ARE,TK1ARE3,L08,K1ARE,JK1ARE1,L18,0
K1ARE,TK1ARE3,L08,K1ARE,JK1ARE2,L18,1
K1ARE,TK1ARE3,L08,K1STU,TK1STU3,L08,9912
K1ARE,TK1ARE3,L08,K2TOR,TK2TOR1,L08,9
K1BAS,TK1BAS1,L08,K1BEN,TK1BEN2,L08,2816
K1BAS,TK1BAS1,L08,K1HLT,TK1HLT1,L08,6094
K1BAS,TK1BAS1,L08,K1HLT,TK1HLT4,L08,5012
K1BAS,TK1BAS1,L08,K1KUZ,TK1KUZ1,L08,603
K1BAS,TK1BAS1,L08,K1STR,TK1STR1,L08,326
K1BAS,TK1BAS1,L08,K1STR,TK1STR2,L08,4575
K1BAS,TK1BAS1,L08,K1TYR,TK1TYR2,L08,956
K1BAS,TK1BAS1,L08,K1WAT,TK1WAT1,L08,345
K1BAS,TK1BAS1,L08,K3DHM,TK3DHM2,L08,15
